Entity,Code,Day,total_vaccinations_per_hundred,"GDP per capita, PPP (constant 2011 international $)",Year,Year,Continent
Abkhazia,OWID_ABK,2020-01-21,,,,2015,Asia
Afghanistan,AFG,2021-02-22,0,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2021-02-28,0.02,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2021-03-16,0.14,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2021-04-07,0.3,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2021-04-22,0.6,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2021-05-11,1.27,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2021-05-20,1.38,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2021-05-24,1.44,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2021-05-26,1.48,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2021-05-27,1.49,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2021-05-30,1.51,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2021-06-02,1.57,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2021-06-03,1.58,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2021-06-08,1.61,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2021-06-14,1.66,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2021-06-22,1.92,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2021-06-27,2.1,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2021-06-30,2.23,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2021-07-05,2.3,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2021-07-07,2.35,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2021-07-11,2.42,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2021-07-14,2.57,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2021-07-18,2.75,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2021-07-24,2.94,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2021-08-20,3.02,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2021-08-31,4.97,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2021-09-30,5.95,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2021-11-14,10.09,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2021-12-27,11.73,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2022-01-09,12.31,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2022-01-11,12.36,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2022-01-13,12.44,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2022-01-17,12.51,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2022-01-19,12.56,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2022-01-24,12.67,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2022-01-26,12.74,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2022-01-27,12.76,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2022-01-31,12.87,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2022-02-02,12.93,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2022-02-07,13.1,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2022-02-14,13.36,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2022-02-20,13.59,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2022-02-27,13.9,1803.98748708124,2017,2015,Asia
Afghanistan,AFG,2022-03-06,14.05,1803.98748708124,2017,2015,Asia
